seed,method,model,batch_size,datasets,client_num,hidden,dropout,local_updates,lr,weight_decay,test_acc,val_loss,group
0,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0,0.786796455,280.8657383,0
1,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0,0.769364007,229.6902096,0
2,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0,0.773058871,281.34898,0
3,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0,0.759865595,225.1161668,0
4,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0,0.777244202,325.9519728,0
,,,,,,,,,,,0.773265826,0 平均值,0
0,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0,0.78275347,227.6923608,1
1,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0,0.769322336,286.0421945,1
2,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0,0.765068414,340.3883066,1
3,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0,0.743828258,233.9932973,1
4,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0,0.787968458,289.6414969,1
,,,,,,,,,,,0.769788187,1 平均值,1
0,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0,0.792305723,196.3208278,2
1,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0,0.777271122,198.7869718,2
2,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0,0.760311854,283.5857757,2
3,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0,0.786754783,286.0799479,2
4,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0,0.766728302,196.4625156,2
,,,,,,,,,,,0.776674357,2 平均值,2
0,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0,0.736965551,181.6391633,3
1,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0,0.773225556,213.2368628,3
2,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0,0.766448773,296.6770424,3
3,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0,0.768474116,199.9808614,3
4,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0,0.776030528,294.3370071,3
,,,,,,,,,,,0.764228905,3 平均值,3
0,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0,0.759559145,264.4654648,4
1,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0,0.778666233,289.523664,4
2,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0,0.784330017,214.2649158,4
3,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0,0.761498564,230.6975854,4
4,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0,0.788316579,212.2977674,4
,,,,,,,,,,,0.774474107,4 平均值,4
0,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0,0.762391037,207.2987581,5
1,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0,0.748891312,186.9007904,5
2,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0,0.768081742,189.4601109,5
3,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0,0.756411172,179.8723368,5
4,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0,0.756060469,175.467193,5
,,,,,,,,,,,0.758367146,5 平均值,5
0,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0,0.782723968,195.3085426,6
1,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0,0.773674352,197.2712291,6
2,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0,0.780228028,203.0090518,6
3,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0,0.777048015,194.5497295,6
4,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0,0.765347943,204.1073147,6
,,,,,,,,,,,0.775804461,6 平均值,6
0,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0,0.7544275,189.3226026,7
1,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0,0.755947624,251.2538011,7
2,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0,0.747817402,221.5084615,7
3,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0,0.777327544,283.2005265,7
4,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0,0.767284824,287.0724311,7
,,,,,,,,,,,0.760560979,7 平均值,7
0,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0.0005,0.785121815,285.957959,8
1,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0.0005,0.762810332,238.9907202,8
2,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0.0005,0.771859948,287.5297455,8
3,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0.0005,0.761010678,193.9389972,8
4,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0.0005,0.741123962,198.238927,8
,,,,,,,,,,,0.764385347,8 平均值,8
0,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0.0005,0.785445597,232.2635664,9
1,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0.0005,0.755626424,294.2024947,9
2,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0.0005,0.786713112,162.9627588,9
3,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0.0005,0.766350679,171.3075314,9
4,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0.0005,0.788289658,296.9691472,9
,,,,,,,,,,,0.776485094,9 平均值,9
0,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0.0005,0.767451509,208.0375123,10
1,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0.0005,0.767927226,208.8792018,10
2,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0.0005,0.763310431,290.0068702,10
3,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0.0005,0.782723968,293.3283149,10
4,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0.0005,0.738833841,206.6954478,10
,,,,,,,,,,,0.764049395,10 平均值,10
0,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0.0005,0.753951784,220.3311664,11
1,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0.0005,0.758387142,307.0098835,11
2,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0.0005,0.760505459,304.3489508,11
3,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0.0005,0.773689103,207.3614836,11
4,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0.0005,0.777425638,300.2542725,11
,,,,,,,,,,,0.764791825,11 平均值,11
0,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0.0005,0.766546866,271.4180086,12
1,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0.0005,0.782878484,295.7354217,12
2,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0.0005,0.777048015,224.1704564,12
3,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0.0005,0.748638703,190.7024805,12
4,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0.0005,0.789655267,219.5511504,12
,,,,,,,,,,,0.772953467,12 平均值,12
0,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0.0005,0.768721606,166.8780549,13
1,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0.0005,0.75997844,199.5810804,13
2,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0.0005,0.758806436,204.6412471,13
3,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0.0005,0.767802212,175.2584456,13
