seed,method,model,batch_size,datasets,client_num,hidden,dropout,local_updates,lr,weight_decay,test_acc,val_loss,group,
0,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0.5,1,0.01,0.0005,0.843049424,111.2640531,154,
1,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0.5,1,0.01,0.0005,0.844592634,117.339716,154,
2,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0.5,1,0.01,0.0005,0.829428919,96.75972206,154,
3,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0.5,1,0.01,0.0005,0.8528355,105.1581449,154,
4,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0.5,1,0.01,0.0005,0.845336148,89.97780287,154,
,,,,,,,,,,,0.843048525,154 平均值,154,0.008498471
0,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0.5,1,0.01,0.0005,0.846879358,90.40645981,58,
1,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0.5,1,0.01,0.0005,0.834316981,96.27204177,58,
2,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0.5,1,0.01,0.0005,0.830703745,117.6229156,58,
3,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0.5,1,0.01,0.0005,0.853052198,90.15682233,58,
4,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0.5,1,0.01,0.0005,0.845336148,90.18977749,58,
,,,,,,,,,,,0.842057686,58 平均值,58,
0,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0.5,1,0.01,0.0005,0.833305082,115.8000588,62,
1,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0.5,1,0.01,0.0005,0.834631594,118.7001814,62,
2,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0.5,1,0.01,0.0005,0.839911318,106.0461413,62,
3,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0.5,1,0.01,0.0005,0.852887186,88.51257461,62,
4,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0.5,1,0.01,0.0005,0.838358156,89.30557241,62,
,,,,,,,,,,,0.839818667,62 平均值,62,
0,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0.5,1,0.01,0.0005,0.853000511,87.15524357,59,
1,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0.5,1,0.01,0.0005,0.847947438,124.71182,59,
2,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0.5,1,0.01,0.0005,0.837873073,107.23813,59,
3,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0.5,1,0.01,0.0005,0.830652058,119.8083237,59,
4,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0.5,1,0.01,0.0005,0.827132243,111.3446481,59,
,,,,,,,,,,,0.839321065,59 平均值,59,
0,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0,1,0.01,0.0005,0.847947438,91.93770173,10,
1,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0,1,0.01,0.0005,0.845016077,136.927281,10,
2,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0,1,0.01,0.0005,0.839642933,99.99836071,10,
3,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0,1,0.01,0.0005,0.830600372,117.8746398,10,
4,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0,1,0.01,0.0005,0.832448243,106.9807607,10,
,,,,,,,,,,,0.839131013,10 平均值,10,
0,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0.5,1,0.01,0.0005,0.830688335,92.54386855,56,
1,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0.5,1,0.01,0.0005,0.836329864,88.10674755,56,
2,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0.5,1,0.01,0.0005,0.838358156,93.82838001,56,
3,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0.5,1,0.01,0.0005,0.843369495,93.72259892,56,
4,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0.5,1,0.01,0.0005,0.836773211,108.4449952,56,
,,,,,,,,,,,0.837103812,56 平均值,56,
0,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0.5,1,0.01,0.0005,0.834899979,92.97732241,152,
1,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0.5,1,0.01,0.0005,0.834786654,88.82704542,152,
2,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0.5,1,0.01,0.0005,0.834466583,93.14023038,152,
3,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0.5,1,0.01,0.0005,0.836876584,96.1001461,152,
4,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0.5,1,0.01,0.0005,0.835178315,108.5334229,152,
,,,,,,,,,,,0.835241623,152 平均值,152,
0,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0,1,0.01,0.0005,0.823839077,140.8226695,8,
1,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0,1,0.01,0.0005,0.835220049,95.18153235,8,
2,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0,1,0.01,0.0005,0.838471481,102.0330254,8,
3,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0,1,0.01,0.0005,0.83011529,138.9751581,8,
4,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0,1,0.01,0.0005,0.844262611,99.14414505,8,
,,,,,,,,,,,0.834381702,8 平均值,8,
0,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0.5,1,0.01,0.0005,0.825970742,112.178008,158,
1,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0.5,1,0.01,0.0005,0.829108848,112.5902419,158,
2,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0.5,1,0.01,0.0005,0.83931291,107.7514171,158,
3,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0.5,1,0.01,0.0005,0.836876584,91.70118655,158,
4,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0.5,1,0.01,0.0005,0.838739865,96.83937957,158,
,,,,,,,,,,,0.83400179,158 平均值,158,
0,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0,1,0.01,0.0005,0.83815141,108.288025,111,
1,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0,1,0.01,0.0005,0.840066377,96.65520981,111,
2,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0,1,0.01,0.0005,0.845294414,107.3011057,111,
3,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0,1,0.01,0.0005,0.828633718,126.9630037,111,
