seed,method,model,batch_size,datasets,client_num,hidden,dropout,local_updates,lr,weight_decay,test_acc,val_loss,group
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0,1,0.01,0,0.888694607,427.2594866,0
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0,1,0.1,0,0.887924272,500.1806659,0
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0.5,1,0.01,0,0.885535079,408.4305202,0
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0,1,0.01,0,0.885203288,420.2183595,0
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0.5,1,0.1,0,0.885100978,775.0747161,0
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0,1,0.01,0,0.884549915,418.2806075,1
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0,1,0.01,0.0005,0.884381099,424.5097837,1
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0,1,0.1,0.0005,0.88429739,1347.897645,1
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0,1,0.01,0,0.88352113,416.0642443,1
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0,1,0.01,0.0005,0.882615644,423.6981672,1
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0,1,0.1,0,0.882592516,624.9638109,2
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0.5,1,0.01,0.0005,0.88208335,417.1543716,2
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0,1,0.01,0,0.881809834,432.6268973,2
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0,1,0.01,0,0.881703409,419.8476634,2
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0,1,0.01,0,0.881670156,411.5446798,2
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0,1,0.01,0,0.881588753,423.1677697,3
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0,1,0.01,0,0.881384378,426.8218241,3
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0,1,0.01,0,0.88125474,429.8442746,3
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0,1,0.01,0,0.881186012,435.5857756,3
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0,1,0.01,0,0.881167327,426.6335946,3
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0,1,0.01,0.0005,0.880520292,409.5641607,4
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0.5,1,0.01,0,0.880390739,443.243733,4
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0.5,1,0.01,0,0.880374277,444.7101451,4
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0.5,1,0.01,0,0.880355592,439.6580064,4
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0,1,0.01,0,0.880155332,451.6717627,4
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0,1,0.1,0,0.88001302,820.3604039,5
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0,1,0.1,0.0005,0.879566244,869.8767284,5
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0,1,0.1,0,0.87954756,559.1446932,5
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0,1,0.01,0,0.879521057,435.3265202,5
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0,1,0.01,0.0005,0.879180791,423.4736039,5
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0.5,1,0.01,0,0.878919622,437.7735628,6
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0,1,0.1,0.0005,0.878842662,487.9737175,6
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0,1,0.1,0,0.878550219,592.2434672,6
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0.5,1,0.01,0.0005,0.878543796,451.9484544,6
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0,1,0.1,0.0005,0.878460499,964.8922195,6
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0,1,0.1,0.0005,0.87838354,1514.778768,7
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0,1,0.01,0,0.878362634,450.8538173,7
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0,1,0.1,0.0005,0.878172499,2272.486463,7
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0,1,0.1,0,0.878014465,3454.178046,7
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0.5,1,0.01,0.0005,0.877626292,435.031973,7
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0.5,1,0.01,0,0.877392123,427.2779292,8
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0,1,0.01,0.0005,0.877321173,422.1564336,8
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0,1,0.01,0,0.877166842,438.2750179,8
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0,1,0.1,0.0005,0.877154167,888.2535362,8
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0,1,0.1,0.0005,0.876985351,751.9439998,8
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0,1,0.01,0,0.876968476,449.408463,9
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0.5,1,0.01,0.0005,0.876889295,438.7823826,9
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0,1,0.1,0.0005,0.876862051,632.5339031,9
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0.5,1,0.01,0,0.876812251,448.1792571,9
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0.5,1,0.1,0,0.876772417,595.5755267,9
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0,1,0.1,0,0.876684676,979.0849753,10
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0,1,0.01,0.0005,0.876643435,440.7418594,10
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0,1,0.01,0.0005,0.876640885,430.7484527,10
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0,1,0.01,0,0.876574379,448.447287,10
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0,1,0.01,0,0.876355107,432.6316255,10
4,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0,1,0.01,0,0.876321854,450.0272297,11
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0.5,1,0.1,0,0.876240122,460.0199712,11
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0.5,1,0.01,0.0005,0.876156826,435.1686741,11
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0,1,0.01,0.0005,0.876133941,424.3359887,11
3,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0,1,0.01,0,0.876062991,444.3991474,11
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0.5,1,0.1,0,0.876058875,1754.299646,12
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0.5,1,0.01,0.0005,0.876027103,434.8430757,12
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0.5,1,0.01,0,0.875968828,448.0739507,12
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0.5,1,0.01,0,0.875858288,454.4777449,12
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0,1,0.01,0.0005,0.875720831,429.0349348,12
